Taxar,ID,Provyteareal,Proportion_pine,Both Pine cover,Birch cover,Aspen cover,Rowan cover,Salix cover ,Oak,RASE_proportion,RASE presence,NordKoordinat,OstKoordinat,HuggnKlass,Browsing_presence,Moose pellet groups,Moose presence ,Wolf territory,Time since establishment,Small roads,Big roads,Pellet counts,Fresh only,Fresh and old ,Fresh ,Old and fresh,Old,Other ,No browsing,Total trees
2013,2.01E+11,153.94,0,0,0,0,0,0,0,0,0,6761488,439167,23,0,0,0,0,0,78.12034631,1057.614812,0,0,1,1,9,10,1,13,24
2006,2.01E+11,153.94,0.55216318,85,85,0,0,0,0,0,0,6815252,569638,22,0,0,0,0,0,78.69697782,1417.547713,0,0,0,0,0,0,0,1,1
2010,2.01E+11,153.94,0.123424711,19,19,0,2,0,3,0.032480187,1,6466153,315703,23,0,0,0,0,0,79.55801453,358.277542,0,0,0,0,0,0,0,0,0
2005,2.01E+11,153.94,0.649603742,100,100,0,0,0,0,0,0,6362843,394142,22,0,0,0,0,0,79.91605371,2062.337493,0,0,0,0,0,0,0,0,0
2008,2.01E+11,153.94,0.051968299,8,8,0,0,0,0,0,0,6554449,319289,21,1,0,0,1,7,80.94202107,1676.454209,0,1,4,5,8,12,0,0,13
2004,2.00E+11,153.94,0.285825646,44,42,2,2,2,0,0.038976225,1,6621291,506994,22,0,0,0,0,0,81.74187022,593.377797,0,0,0,0,0,0,0,0,0
2011,2.01E+11,153.94,0.022736131,3.5,3,0,0.5,0.5,0,0.006496037,1,6668870,560654,22,0,0,0,0,0,82.40409481,1451.019324,0,0,0,0,4,4,5,13,22
2015,2.02E+11,153.94,0.116928674,18,18,0,1,0,0,0.006496037,1,6793055,556708,22,1,0,0,1,4,82.46510463,2726.866039,0,1,1,2,2,3,7,1,12
2012,2.01E+11,153.94,0.146160842,22.5,22,0,0,0.5,0,0.003248019,1,6728795,432449,23,0,0,0,0,0,82.65100017,1289.790908,0,0,0,0,8,8,0,5,13
2016,2.02E+11,153.94,0.246849422,38,38,0,0.1,0,0,0.000649604,1,6733040,465460,22,0,0,0,1,15,82.80305936,12230.31872,0,0,0,0,0,0,0,0,0
2015,2.02E+11,153.94,0.012992075,2,2,0,0,0,0,0,0,6863642,393420,22,0,1,1,0,0,86.09139659,529.0734,1,0,0,0,0,0,5,2,7
2013,2.01E+11,153.94,0.129920748,20,20,0,3,0,0,0.019488112,1,6633234,408979,22,0,2,1,1,2,86.29277566,4265.874563,2,0,0,0,0,0,0,0,0
2003,2.00E+11,153.94,0,0,3,0,2,0,0,0.012992075,1,6543457,451957,21,0,0,0,1,1,88.06154225,397.303926,0,0,0,0,0,0,0,0,0
2014,2.01E+11,153.94,0.298817721,46,46,0,0,0,0,0,0,6543280,479739,22,0,0,0,1,14,88.43797255,926.294436,0,0,0,0,0,0,1,7,8
2008,2.01E+11,153.94,0.272833572,42,42,0,0,0,0,0,0,6625129,415734,22,0,1,1,0,0,89.10564879,2026.748562,1,0,0,0,0,0,0,0,0
2015,2.02E+11,153.94,0.656099779,101,100,0,0,1,0,0.006496037,1,6760731,505806,22,0,0,0,1,6,90.13373701,1834.791564,0,0,0,0,1,1,0,0,1
2004,2.00E+11,153.94,0.051968299,8,8,0,0,0,0,0,0,6746362,374066,23,0,0,0,1,17,90.16441305,51.771768,0,0,0,0,0,0,0,0,0
2009,2.01E+11,153.94,0.136416786,21,19,0,0,2,0,0.012992075,1,6668487,528660,22,0,0,0,0,0,90.28797882,365.512449,0,0,0,0,1,1,2,19,22
2013,2.01E+11,153.94,0.003248019,0.5,0.5,0,0,0,0,0,0,6745923,561591,21,0,0,0,1,3,91.16962533,2365.000551,0,0,0,0,0,0,2,5,7
2012,2.01E+11,153.94,0.051968299,8,8,0,0.5,0,0,0.003248019,1,6784994,491751,22,0,0,0,1,8,92.15032614,1058.03127,0,0,0,0,0,0,0,0,0
2009,2.01E+11,153.94,0.064960374,10,8,0,0,2,0,0.012992075,1,6681305,595482,23,0,0,0,0,0,92.2388384,742.836394,0,0,0,0,0,0,0,0,0
2016,2.02E+11,153.94,0.17539301,27,26,0,0.1,1,0,0.007145641,1,6757409,467324,23,0,1,1,0,0,92.58706972,3410.804527,1,0,2,2,9,11,2,0,13
2004,2.00E+11,153.94,0.571651293,88,85,0,2,3,0,0.032480187,1,6709489,504964,23,0,1,1,0,0,92.60247847,1184.75965,1,0,0,0,0,0,0,0,0
2004,2.00E+11,153.94,0.051968299,8,0,0,2,8,0,0.064960374,1,6368885,398067,22,0,0,0,0,0,92.62928684,565.47616,0,0,0,0,0,0,0,0,0
2003,2.00E+11,153.94,0,0,100,0,2,0,0,0.012992075,1,6414341,421521,22,0,1,1,0,0,93.65043296,2293.835415,1,0,0,0,0,0,0,0,0
2010,2.01E+11,153.94,0.012992075,2,2,0,2,0,0,0.012992075,1,6817640,584320,22,0,0,0,0,0,94.54557812,6371.723998,0,0,0,0,0,0,2,3,5
2008,2.01E+11,153.94,0.363778095,56,54,85,3,2,0,0.584643368,1,6834565,539107,23,0,0,0,0,0,94.85557496,6596.650512,0,0,0,0,0,0,0,0,0
2005,2.01E+11,153.94,0.012992075,2,2,0,2,0,0,0.012992075,1,6640117,509156,23,0,1,1,0,0,94.9008477,768.581465,1,0,0,0,2,2,1,0,3
2007,2.01E+11,153.94,0.051968299,8,8,2,3,0,0,0.032480187,1,6720345,575307,22,0,1,1,1,1,94.94592229,5068.740412,1,0,0,0,0,0,1,0,1
2015,2.02E+11,153.94,0.065609978,10.1,10,0,0,0.1,0,0.000649604,1,6637448,466985,22,0,1,1,1,10,95.41845415,59.798052,1,0,1,1,0,1,1,31,33
2012,2.01E+11,153.94,0.162400935,25,25,0,0.5,0,0,0.003248019,1,6702869,437273,22,0,0,0,1,8,95.79245048,1299.215469,0,0,0,0,2,2,1,0,3
2009,2.01E+11,153.94,0.272833572,42,42,0,0,0,0,0,0,6699784,594758,22,0,0,0,0,0,98.5711549,1133.355611,0,0,0,0,0,0,1,11,12
2014,2.01E+11,153.94,0.02598415,4,4,0,0.1,0,0,0.000649604,1,6764790,359693,22,0,0,0,1,10,101.0297713,99.005117,0,0,0,0,0,0,0,0,0
2015,2.02E+11,153.94,0.012992075,2,2,0,0,0,0,0,0,6785882,517221,21,0,0,0,1,12,101.3387633,1450.20725,0,0,0,0,0,0,4,4,8
2003,2.00E+11,153.94,0.012992075,2,3,0,0,0,0,0,0,6617175,435624,22,0,0,0,1,3,101.491711,1704.414774,0,0,0,0,0,0,0,0,0
2011,2.01E+11,153.94,0.061712355,9.5,9,0.5,0.5,0.5,0,0.009744056,1,6505538,298732,23,0,0,0,1,1,101.8082377,1383.289559,0,0,0,0,0,0,0,0,0
2007,2.01E+11,153.94,0.240353384,37,35,0,2,2,0,0.02598415,1,6722785,489811,22,0,0,0,0,0,102.3268456,2981.528807,0,0,0,0,0,0,0,0,0
2012,2.01E+11,153.94,0.60413148,93,93,0,0.5,0,0,0.003248019,1,6808866,602421,22,0,0,0,0,0,102.3714356,1812.127503,0,0,0,0,2,2,0,3,5
2003,2.00E+11,153.94,0.051968299,8,12,0,0,0,0,0,0,6412154,371967,23,0,0,0,0,0,102.6393779,292.248326,0,0,0,0,1,1,0,2,3
2007,2.01E+11,153.94,0.194881123,30,27,0,3,3,0,0.038976225,1,6724218,524276,22,0,0,0,0,0,103.7629462,4142.250713,0,0,0,0,0,0,1,0,1
2005,2.01E+11,153.94,0.045472262,7,5,2,2,2,0,0.038976225,1,6838905,542859,21,0,0,0,0,0,104.9160514,5095.855454,0,0,1,1,7,8,0,2,10
2003,2.00E+11,153.94,0,0,12,0,3,0,0,0.019488112,1,6411754,371966,22,0,0,0,0,0,105.1619084,98.279364,0,0,0,0,1,1,0,0,1
2003,2.00E+11,153.94,0.038976225,6,69,0,0,0,0,0,0,6884902,543281,22,0,0,0,0,0,105.7789286,1240.211022,0,0,0,0,0,0,1,5,6
2016,2.02E+11,153.94,0.098090165,15.1,15,0,2,0.1,0,0.013641679,1,6704093,473550,22,0,0,0,1,5,106.7648868,1499.894911,0,0,0,0,0,0,1,1,2
2008,2.01E+11,153.94,0.038976225,6,6,0,0,0,0,0,0,6642169,596109,22,0,0,0,0,0,107.2714431,1894.422648,0,0,2,2,5,7,0,0,7
2015,2.02E+11,153.94,0.220865272,34,33,1,2,1,3,0.045472262,1,6600821,596257,22,1,2,1,0,0,107.3842042,915.15318,2,1,0,1,0,0,1,0,2
2005,2.01E+11,153.94,0.038976225,6,6,0,0,0,0,0,0,6738362,415152,23,0,0,0,0,0,107.7736283,1474.925065,0,0,0,0,1,1,0,10,11
2005,2.01E+11,153.94,0.17539301,27,27,0,0,0,0,0,0,6737378,415657,21,0,0,0,0,0,109.9942843,1950.192842,0,0,1,1,0,1,0,8,9
2006,2.01E+11,153.94,0.272833572,42,42,0,0,0,0,0,0,6618435,457094,22,0,0,0,0,0,110.2379039,1924.280856,0,0,0,0,0,0,0,2,2
2014,2.01E+11,153.94,0.038976225,6,6,0,5,0,0,0.032480187,1,6845871,550448,22,0,1,1,0,0,110.6188085,3104.585271,1,0,0,0,0,0,0,0,0
2004,2.00E+11,153.94,0.051968299,8,8,0,0,0,0,0,0,6692721,401212,23,0,0,0,1,5,110.6370432,1140.362825,0,0,0,0,0,0,3,0,3
2016,2.02E+11,153.94,0.077952449,12,11,0,0.1,1,0,0.007145641,1,6633550,421308,23,0,0,0,1,9,110.7266325,1962.984491,0,0,0,0,0,0,0,2,2
2009,2.01E+11,153.94,0.123424711,19,19,0,0,0,0,0,0,6592680,472352,22,0,2,1,1,7,110.7912897,953.686511,2,0,0,0,1,1,3,2,6
2014,2.01E+11,153.94,0.448226582,69,68,0.1,0,1,0,0.007145641,1,6531017,509336,22,0,0,0,0,0,112.107656,657.232732,0,0,0,0,3,3,2,0,5
2010,2.01E+11,153.94,0.012992075,2,2,0,0,0,0,0,0,6809250,391975,22,0,0,0,1,3,112.343531,5019.910991,0,0,0,0,1,1,3,1,5
2006,2.01E+11,153.94,0.272833572,42,42,0,0,0,0,0,0,6723768,569274,21,0,0,0,0,0,112.5649277,5751.801876,0,0,0,0,3,3,1,12,16
2014,2.01E+11,153.94,0.253345459,39,38,0,0,1,0,0.006496037,1,6634004,355663,22,0,0,0,0,0,112.663064,66.981366,0,0,0,0,0,0,0,0,0
2013,2.01E+11,153.94,0.019488112,3,3,0,0,0,0,0,0,6522789,316557,22,0,0,0,1,11,113.8120368,749.057645,0,0,0,0,3,3,0,1,4
2014,2.01E+11,153.94,0.012992075,2,2,0.1,0,0,0,0.000649604,1,6850704,493486,21,0,0,0,0,0,114.4033064,998.778589,0,0,0,0,0,0,2,10,12
2005,2.01E+11,153.94,0.02598415,4,2,0,0,2,0,0.012992075,1,6637038,425381,23,0,0,0,1,4,114.6696433,103.4234,0,0,0,0,3,3,0,2,5
2007,2.01E+11,153.94,0.17539301,27,27,0,0,0,0,0,0,6637469,460366,21,0,0,0,0,0,114.8583184,1029.059203,0,0,0,0,0,0,0,0,0
2013,2.01E+11,153.94,0.10068858,15.5,15,0,0,0.5,0,0.003248019,1,6746369,456459,22,1,1,1,1,6,115.7799499,464.215274,1,1,4,5,3,7,0,0,8
2006,2.01E+11,153.94,0.240353384,37,35,0,2,2,0,0.02598415,1,6810740,609182,23,0,1,1,0,0,116.2641071,2858.628191,1,0,0,0,6,6,0,4,10
2012,2.01E+11,153.94,0.016240094,2.5,2,0,0,0.5,0,0.003248019,1,6815141,504352,23,0,1,1,1,7,116.3758332,11041.62996,1,0,1,1,1,2,3,7,12
2014,2.01E+11,153.94,0.038976225,6,6,0,0.1,0,0,0.000649604,1,6581480,493789,22,0,0,0,1,8,116.4077357,4657.085736,0,0,0,0,0,0,2,0,2
2007,2.01E+11,153.94,0.032480187,5,3,2,2,2,0,0.038976225,1,6808448,504751,21,0,0,0,0,0,117.5458672,12231.20642,0,0,0,0,0,0,1,3,4
2008,2.01E+11,153.94,0.747044303,115,115,0,2,0,0,0.012992075,1,6544419,482528,21,0,0,0,1,7,117.6174241,32.938175,0,0,0,0,1,1,1,3,5
2005,2.01E+11,153.94,0.077952449,12,12,0,0,0,0,0,0,6708126,434516,22,0,0,0,0,0,117.7194803,1438.048396,0,0,0,0,0,0,9,0,9
2015,2.02E+11,153.94,0.097440561,15,11,0,0.1,4,0,0.026633753,1,6607346,360149,21,0,0,0,1,4,119.1480338,1366.829796,0,0,0,0,0,0,0,0,0
2005,2.01E+11,153.94,0.090944524,14,12,0,3,2,0,0.032480187,1,6825223,568020,21,0,1,1,0,0,119.2459717,2861.599309,1,0,0,0,1,1,0,2,3
2010,2.01E+11,153.94,0.285825646,44,42,0,3,2,0,0.032480187,1,6747178,382755,22,0,0,0,0,0,119.5252148,7394.227227,0,0,0,0,0,0,0,0,0
2003,2.00E+11,153.94,0.272833572,42,12,0,0,0,0,0,0,6587014,483421,22,0,0,0,1,1,120.4848939,358.782558,0,0,0,0,0,0,0,1,1
2004,2.00E+11,153.94,0.285825646,44,42,0,2,2,0,0.02598415,1,6708971,504470,22,0,0,0,0,0,121.5315996,1541.867565,0,0,0,0,0,0,0,1,1
2015,2.02E+11,153.94,0.162400935,25,21,2,3,4,0,0.058464337,1,6580172,560507,22,0,0,0,0,0,122.2871274,2505.861853,0,0,0,0,0,0,0,0,0
2012,2.01E+11,153.94,0.090944524,14,14,0,0,0,0,0,0,6471254,415836,22,0,0,0,0,0,122.8562219,29.081251,0,0,0,0,0,0,0,0,0
2004,2.00E+11,153.94,0.240353384,37,35,0,2,2,0,0.02598415,1,6464149,407335,21,0,0,0,0,0,123.8365366,1381.356499,0,0,0,0,0,0,0,0,0
2014,2.01E+11,153.94,0.311809796,48,47,0,1,1,0,0.012992075,1,6535344,451746,23,0,0,0,0,0,124.8266292,74.795092,0,0,1,1,4,5,1,1,7
2013,2.01E+11,153.94,0.064960374,10,10,0,0.5,0,0,0.003248019,1,6718211,463449,23,0,0,0,1,10,125.3153688,2652.5025,0,0,0,0,0,0,0,0,0
2016,2.02E+11,153.94,0.441730544,68,60,0,0,8,0,0.051968299,1,6700081,397343,23,1,0,0,1,17,125.8814421,4181.907477,0,1,1,2,10,11,10,2,24
2013,2.01E+11,153.94,0.038976225,6,6,0,0.5,0,0,0.003248019,1,6822576,491408,22,0,0,0,0,0,127.002968,621.285982,0,0,0,0,1,1,3,2,6
2004,2.00E+11,153.94,0.032480187,5,5,0,0,0,0,0,0,6641989,421322,21,0,2,1,0,0,127.0169355,1410.928661,2,0,0,0,1,1,0,3,4
2007,2.01E+11,153.94,0.285825646,44,42,2,2,2,0,0.038976225,1,6723228,525290,22,0,0,0,0,0,127.2016591,3643.919439,0,0,0,0,0,0,1,3,4
2003,2.00E+11,153.94,0.012992075,2,0,0,3,0,0,0.019488112,1,6698905,579575,23,0,0,0,0,0,128.2689297,24.764084,0,0,0,0,0,0,0,0,0
2004,2.00E+11,153.94,0.032480187,5,3,0,2,2,0,0.02598415,1,6765323,574753,21,0,0,0,1,4,130.2268061,44.65351,0,0,0,0,0,0,0,0,0
2011,2.01E+11,153.94,0.003248019,0.5,0.5,0,0,0,0,0,0,6670388,437654,22,0,0,0,1,15,130.3538736,1392.107117,0,0,0,0,0,0,0,0,0
2007,2.01E+11,153.94,0.012992075,2,2,2,2,0,0,0.02598415,1,6829911,542962,22,0,0,0,0,0,130.7722709,3223.654434,0,0,0,0,7,7,0,2,9
2005,2.01E+11,153.94,0.077952449,12,12,0,2,0,0,0.012992075,1,6690590,595167,22,0,0,0,0,0,131.0767111,3050.541312,0,0,0,0,2,2,0,0,2
2005,2.01E+11,153.94,0.17539301,27,27,0,0,0,0,0,0,6737856,414156,22,0,0,0,0,0,131.2560699,2536.544374,0,0,0,0,6,6,0,4,10
2011,2.01E+11,153.94,0.003248019,0.5,0.5,0,0.5,0,0,0.003248019,1,6801420,404578,23,0,1,1,0,0,131.460182,651.139205,1,0,0,0,15,15,1,14,30
2016,2.02E+11,153.94,0.208522801,32.1,32,0,1,0.1,0,0.007145641,1,6629490,544959,22,0,0,0,1,10,131.926085,37.771059,0,0,0,0,2,2,0,7,9
2004,2.00E+11,153.94,0.02598415,4,2,0,2,2,0,0.02598415,1,6651281,507018,21,0,0,0,0,0,132.2806353,4513.102683,0,0,0,0,1,1,1,1,3
2008,2.01E+11,153.94,0.038976225,6,6,0,0,0,0,0,0,6486478,418453,23,0,4,1,0,0,132.7179819,1428.400531,4,0,0,0,1,1,2,0,3
2006,2.01E+11,153.94,0.051968299,8,8,2,2,0,0,0.02598415,1,6650517,575010,23,0,1.844087596,1,0,0,133.3753921,406.603851,2,0,0,0,1,1,2,0,3
2014,2.01E+11,153.94,0.103936599,16,16,0,3,0,0,0.019488112,1,6786411,570534,22,0,0,0,1,10,134.4101669,1847.822421,0,0,2,2,5,7,0,0,7
2006,2.01E+11,153.94,0.077952449,12,12,5,0,0,0,0.032480187,1,6617429,456606,22,0,0,0,0,0,136.0196509,1866.725484,0,0,0,0,0,0,0,0,0
2007,2.01E+11,153.94,0.448226582,69,69,0,2,0,0,0.012992075,1,6703262,405074,21,0,0,0,1,3,136.9546426,785.646833,0,0,0,0,0,0,1,1,2
2011,2.01E+11,153.94,0.003248019,0.5,0.5,0,0.5,0,0,0.003248019,1,6759165,586539,23,0,4,1,1,7,139.0911939,2731.347906,4,0,0,0,6,6,0,0,6
2007,2.01E+11,153.94,0.272833572,42,42,0,0,0,0,0,0,6683215,400323,23,1,5,1,0,0,139.6637666,6824.58032,5,2,3,5,6,9,1,0,12
2003,2.00E+11,153.94,0.077952449,12,5,0,0,0,0,0,0,6763334,453822,23,0,0,0,0,0,140.0634902,10879.01707,0,0,0,0,2,2,0,3,5
2007,2.01E+11,153.94,0.019488112,3,3,0,2,0,0,0.012992075,1,6829434,544473,22,0,0,0,0,0,140.3342344,2265.91133,0,0,0,0,2,2,3,15,20
2007,2.01E+11,153.94,0.012992075,2,2,0,0,0,0,0,0,6748236,404529,22,0,0,0,0,0,140.4791234,5608.954249,0,0,0,0,5,5,0,1,6
2011,2.01E+11,153.94,0.087696505,13.5,13,0,0.5,0.5,0,0.006496037,1,6629255,553078,23,1,2,1,1,2,141.3452762,499.663791,2,2,2,4,3,5,0,1,8
2015,2.02E+11,153.94,0.149408861,23,23,0,0.1,0,0,0.000649604,1,6728340,530605,23,0,1,1,1,9,141.376573,2045.732697,1,0,1,1,4,5,1,1,7
2011,2.01E+11,153.94,0.139664804,21.5,21,0,0.5,0.5,0,0.006496037,1,6628850,553478,23,0,0,0,1,2,141.4044637,216.49303,0,0,0,0,0,0,0,0,0
2010,2.01E+11,153.94,0.051968299,8,8,0,2,0,0,0.012992075,1,6672479,569595,23,1,4,1,0,0,142.4069613,156.334575,4,4,0,4,0,0,7,6,17
2007,2.01E+11,153.94,0.272833572,42,42,0,2,0,0,0.012992075,1,6422445,363448,22,0,0,0,0,0,143.2933461,131.010827,0,0,0,0,0,0,0,0,0
2015,2.02E+11,153.94,0.136416786,21,20,0,1,1,0,0.012992075,1,6787382,516721,22,0,0,0,1,13,144.0301959,2959.875424,0,0,2,2,2,4,1,2,7
2014,2.01E+11,153.94,0.019488112,3,3,0,0,0,0,0,0,6850704,494986,22,0,0,0,0,0,144.1268507,713.624253,0,0,0,0,4,4,1,2,7
2010,2.01E+11,153.94,0.051968299,8,8,0,0,0,0,0,0,6724301,432497,22,0,0,0,1,1,144.5403581,1293.746907,0,0,0,0,7,7,0,3,10
2010,2.01E+11,153.94,0.077952449,12,12,0,2,0,0,0.012992075,1,6797312,476590,23,0,0,0,1,5,144.5770117,2158.133791,0,0,0,0,2,2,3,3,8
2013,2.01E+11,153.94,0.136416786,21,19,0,0,2,0,0.012992075,1,6353045,392924,22,0,0,0,0,0,144.9770135,454.188558,0,0,0,0,0,0,0,0,0
2008,2.01E+11,153.94,0,0,0,2,2,0,0,0.02598415,1,6845077,620455,22,0,4,1,0,0,145.1898409,1786.446293,4,0,0,0,3,3,0,1,4
2012,2.01E+11,153.94,0.289073665,44.5,44,0,0.5,0.5,0,0.006496037,1,6603277,424984,23,0,0,0,0,0,145.7601002,276.858474,0,0,0,0,2,2,0,0,2
2011,2.01E+11,153.94,0.038976225,6,6,0,0.5,0,0,0.003248019,1,6763663,584982,22,0,0,0,1,10,146.587309,6008.043706,0,0,0,0,1,1,0,0,1
2004,2.00E+11,153.94,0.051968299,8,6,0,2,2,0,0.02598415,1,6819256,529606,22,0,1,1,0,0,146.6419219,6572.839771,1,0,1,1,0,1,0,0,1
2012,2.01E+11,153.94,0.207873197,32,32,0,0.5,0,0,0.003248019,1,6785429,568213,22,0,0,0,1,9,147.2725094,3983.190371,0,0,0,0,0,0,0,1,1
2014,2.01E+11,153.94,0.124074315,19.1,19,0,2,0.1,0,0.013641679,1,6620107,394972,22,0,0,0,1,3,147.6787158,878.75137,0,0,0,0,0,0,0,0,0
2015,2.02E+11,153.94,0.006496037,1,1,0,0,0,0,0,0,6863642,393920,22,0,0,0,0,0,148.0430582,116.073074,0,0,0,0,0,0,3,1,4
2010,2.01E+11,153.94,0,0,0,0,0,0,0,0,0,6433589,442679,22,0,0,0,0,0,148.7480549,436.810196,0,0,1,1,2,3,2,0,5
2012,2.01E+11,153.94,0.958165519,147.5,147,0,0.5,0.5,0,0.006496037,1,6509650,351014,22,0,0,0,1,6,149.2501562,666.799842,0,0,0,0,0,0,0,0,0
2009,2.01E+11,153.94,0.747044303,115,115,0,0,0,0,0,0,6562853,349019,22,0,0,0,0,0,149.4191929,2072.431612,0,0,1,1,0,1,0,0,1
2004,2.00E+11,153.94,0.012992075,2,2,2,0,0,0,0.012992075,1,6656577,580540,23,0,0,0,0,0,150.0166928,3570.712608,0,0,0,0,0,0,4,1,5
2009,2.01E+11,153.94,0.240353384,37,35,3,2,2,0,0.045472262,1,6653027,367415,22,0,1,1,1,3,150.6943205,2025.013212,1,0,0,0,0,0,0,0,0
2007,2.01E+11,153.94,0.077952449,12,12,0,0,0,0,0,0,6541411,481968,22,0,0,0,1,8,151.1236832,548.191858,0,0,0,0,4,4,0,2,6
2008,2.01E+11,153.94,0.019488112,3,3,0,3,0,0,0.019488112,1,6739770,553777,22,0,0,0,0,0,151.2564267,2144.07894,0,0,1,1,0,1,2,2,5
2009,2.01E+11,153.94,0.051968299,8,8,19,0,0,0,0.123424711,1,6893604,543375,23,0,1,1,0,0,151.5542492,7659.494508,1,0,0,0,0,0,0,0,0
2012,2.01E+11,153.94,0.012992075,2,2,0,0,0,0,0,0,6377940,402957,22,0,1,1,0,0,152.209881,1363.371984,1,0,0,0,0,0,0,0,0
2015,2.02E+11,153.94,0.012992075,2,2,0,1,0,0,0.006496037,1,6810717,496561,22,0,0,0,0,0,152.2962339,3788.851986,0,0,0,0,0,0,1,2,3
2014,2.01E+11,153.94,0.42873847,66,66,0,0,0,0,0,0,6526212,450400,21,1,3,1,0,0,153.5419003,1705.536582,3,2,5,7,2,7,0,0,9
2007,2.01E+11,153.94,0.17539301,27,27,0,2,0,0,0.012992075,1,6612322,447171,22,0,0,0,0,0,153.5693684,3223.335058,0,0,0,0,0,0,0,0,0
2003,2.00E+11,153.94,0.019488112,3,5,0,2,2,0,0.02598415,1,6577253,357639,22,1,1,1,1,3,153.6911446,3263.557859,1,1,0,1,1,1,0,0,2
2011,2.01E+11,153.94,0.266337534,41,39,4,5,2,0,0.071456412,1,6822028,575264,22,0,0,0,0,0,154.2776246,723.082041,0,0,1,1,1,2,3,3,8
2009,2.01E+11,153.94,0.012992075,2,2,0,0,0,0,0,0,6699298,595263,22,1,1,1,0,0,154.4314883,1320.727958,1,1,0,1,0,0,3,7,11
2009,2.01E+11,153.94,0.012992075,2,2,0,0,0,0,0,0,6435625,445452,23,0,0,0,0,0,154.7176252,1103.760097,0,0,0,0,0,0,2,0,2
2009,2.01E+11,153.94,0.012992075,2,2,0,0,0,0,0,0,6644379,518952,22,0,0,0,1,2,156.3055442,3697.446875,0,0,0,0,4,4,0,2,6
2008,2.01E+11,153.94,0.123424711,19,19,0,2,0,0,0.012992075,1,6794464,571101,23,0,0,0,0,0,157.0603654,1460.103042,0,0,1,1,6,7,1,7,15
2003,2.00E+11,153.94,0.077952449,12,27,0,0,2,0,0.012992075,1,6792700,403479,23,0,0,0,0,0,157.6321212,70.529591,0,0,0,0,5,5,0,5,10
2009,2.01E+11,153.94,0.077952449,12,12,2,0,0,2,0.02598415,1,6561329,491521,22,0,0,0,0,0,158.2021299,967.337683,0,0,0,0,0,0,0,0,0
2014,2.01E+11,153.94,0.571651293,88,87,0,0.1,1,0,0.007145641,1,6362577,398043,23,0,1,1,0,0,158.9770586,695.391764,1,0,0,0,2,2,0,1,3
2005,2.01E+11,153.94,0.129920748,20,12,5,6,8,0,0.123424711,1,6785634,600000,22,0,0,0,0,0,159.5072706,48.445696,0,0,0,0,0,0,0,0,0
2008,2.01E+11,153.94,0.662595817,102,100,0,0,2,0,0.012992075,1,6710017,614120,22,0,0,0,0,0,159.731327,3939.308554,0,0,0,0,1,1,0,0,1
2004,2.00E+11,153.94,0.032480187,5,3,42,3,2,0,0.305313759,1,6835604,598878,21,0,1,1,0,0,161.8143726,2203.326285,1,0,0,0,5,5,0,0,5
2016,2.02E+11,153.94,0.045472262,7,7,0,0,0,0,0,0,6728036,409633,22,0,0,0,1,2,162.0889649,11104.77274,0,0,0,0,1,1,0,0,1
2007,2.01E+11,153.94,0.051968299,8,8,0,2,0,0,0.012992075,1,6797813,453393,23,0,0,0,1,2,162.2447593,3363.051921,0,0,0,0,0,0,2,7,9
